STATE,UNIT_TYPE,PARKNAME,Shape__Are,mi,km,acres,measure_type
MD,National Historical Park,Harpers Ferry,25199536.95,,,,
MD,National Historical Park,Harriet Tubman Underground Railroad,168814454.2,,,,
MD,National Monument,Fort McHenry,315838.4531,,,,
MD,National Seashore,Assateague Island,279576044.8,,,,
MD,Other Designation,Fort Washington,2290208.57,,,,
MD,Other Designation,Greenbelt,7707043.563,,,,
MD,Other Designation,Catoctin Mountain,39359346.8,,,,
MD,Other Designation,Piscataway,30633450.4,,,,
MD,Parkway,George Washington,44538318.3,,,,
ME,International Historic Site,Saint Croix Island,54060.72656,,,,
ME,National Monument,Katahdin Woods And Waters,749774984.9,,,,
ME,National Park,Acadia,274779310.8,,,,
MI,National Battlefield Park,River Raisin,307034.4102,,,,
MI,National Historical Park,Keweenaw,16297962.7,,,,
MI,National Lakeshore,Sleeping Bear Dunes,570334049.3,,,,
MI,National Lakeshore,Pictured Rocks,630282402.2,,,,
MI,National Park,Isle Royale,4985802199,,,,
MI,National Trails Syste,North Country,2393637.348,,,,
MN,National Monument,Grand Portage,6395838.426,,,,
MN,National Monument,Pipestone,2364452.727,,,,
MN,National Park,Voyageurs,1884045708,,,,
MN,National River,Mississippi,433802093.1,,,,
MN,National Wild & Scenic River,Saint Croix,590858832.1,,,,
MN,National Wild & Scenic River,Lower Saint Croix,92270909.95,,,,
MO,National Battlefield,Wilson's Creek,15564685.58,,,,
MO,National Historic Site,Harry S Truman,83442.25,,,,
MO,National Historic Site,Ulysses S Grant,65455.1875,,,,
MO,National Historical Park,Ste. Geneviève,107696.6133,,,,
MO,National Monument,George Washington Carver,1530092.902,,,,
MO,National River,Ozark,525270475.1,,,,
MP,Park,NA,611358.4551,,,,
MS,National Battlefield,Tupelo,5930.800781,,,,
MS,National Battlefield Site,Brices Cross Roads,5930.152344,,,,
MS,National Historical Park,Natchez,786108.9375,,,,
MS,National Military Park,Shiloh,52707057.38,,,,
MS,National Monument,Medgar and Myrlie Evers Home,4219.386719,,,,
MT,National Battlefield,Big Hole,8092192.031,,,,
MT,National Historic Site,Fort Union Trading Post,4006610.297,,,,
MT,National Historic Site,Grant-Kohrs Ranch,13410009.5,,,,
MT,National Monument,Little Bighorn Battlefield,6437512.961,,,,
MT,National Park,Glacier,9351571347,,,,
MT,National Recreation Area,Bighorn Canyon,974301199.6,,,,
NC,National Battlefield,Moores Creek,542942.2227,,,,
NC,National Historic Site,Carl Sandburg Home,1640145.719,,,,
NC,National Historic Site,Fort Raleigh,3066605.148,,,,
NC,National Memorial,Wright Brothers,2657056.398,,,,
NC,National Military Park,Guilford Courthouse,1410140.445,,,,
NC,National Park,Great Smoky Mountains,3178103338,,,,
NC,National Seashore,Cape Hatteras,190369152.4,,,,
NC,National Seashore,Cape Lookout,171056451.6,,,,
NC,Parkway,Blue Ridge Parkway,642259442.6,,,,
ND,National Historic Site,Knife River Indian Villages,15618816.94,,,,
ND,National Park,Theodore Roosevelt,616847538.8,,,,
NE,National Historical Park,Homestead,1491929.313,,,,
NE,National Monument,Scotts Bluff,23469485.33,,,,
NE,National Monument,Agate Fossil Beds,22628044.36,,,,
NE,National Wild & Scenic River,Missouri,514001422.1,,,,
NE,National Wild & Scenic River,Niobrara,218507564.9,,,,
NH,National Historical Park,Saint-Gaudens,1449352,,,,
NJ,National Historical Park,Thomas Edison,147844.2539,,,,
NJ,National Historical Park,Morristown,11942535.09,,,,
NJ,National Historical Park,Paterson Great Falls,364372.9531,,,,
NJ,National Monument,Statue Of Liberty,486582.4844,,,,
NJ,National Recreation Area,Gateway,190685391.4,,,,
NJ,National Recreation Area,Delaware Water Gap,492233830.7,,,,
NJ,National Wild & Scenic River,Delaware,19974061.14,,,,
NM,National Historical Park,Chaco Culture,213200931.1,,,,
NM,National Historical Park,Pecos,41011612.35,,,,
NM,National Historical Park,Manhattan Project,776550.7539,,,,
NM,National Monument,Petroglyph,43683665.49,,,,
NM,National Monument,Bandelier,207550769.3,,,,
